"speaker","text","voice","face","motion"
"sakuya","「あら、終わってしまったわね。 貴方の剣も、私の時間の中ではただの飾りに過ぎなかったようだけど","","",""
"youmu","「うう……。 捉えたと思った瞬間に、もうナイフに囲まれているなんて。 やはり、私の修行が足りないということでしょうか","","",""
"sakuya","「修行の問題かしらね。 貴方は少し、『生』と『死』を分けすぎているのよ。 半分ずつ持っているから、どちらかに偏るとバランスが崩れるの","","",""
"youmu","「バランス……？ 私はいつだって、半分ずつを等しく持っているつもりですが","","",""
"sakuya","「そうね。今日の貴方の剣は、少しばかり『斬ろう』という意志が『生』の方に寄りすぎていたわね","","",""
"youmu","「『生』に寄っている……。 つまり、私が死人になりきれていない、と？","","",""
"sakuya","「ええ。脳が痛いと感じるより先に、身体が避けることを覚えてしまっているのよ。 それでは、私の時間を追い越すことはできないわ。 死ぬ気で戦うのではなく、死んでいるかのように戦わなくては","","",""
"youmu","「死んでいるかのように……。 哲学的なのか、単に私を馬鹿にしているのか、判断に困ります。 貴方の話は、いつもどこか煙に巻かれたようで","","",""
"sakuya","「あら、心外ね。私は親切にアドバイスしているつもりなのだけれど。","","",""
"youmu","「私には、深く考えるのは合いません。ただ斬るのみ","","",""
